MUNICIPIO;NATUREZA DO FATO;ARMA UTILIZADA;SEXO;IDADE;DATA
ARACATI;HOMICIDIO DOLOSO;ARMA DE FOGO;M;17;2015-12-04
TABULEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;F;38;2015-12-04
SENADOR POMPEU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;14;2015-12-05
RUSSAS;HOMICIDIO DOLOSO;ARMA DE FOGO;M;37;2015-12-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;35;2015-12-05
BATURITE;HOMICIDIO DOLOSO;ARMA DE FOGO;F;45;2015-12-05
IPU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;;2015-12-05
MARANGUAPE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;39;2015-12-05
SAO GONCALO DO AMARANTE;HOMICIDIO DOLOSO;ARMA BRANCA;M;57;2015-12-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;38;2015-12-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-12-05
JAGUARETAMA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;57;2015-12-05
BATURITE;HOMICIDIO DOLOSO;ARMA DE FOGO;F;67;2015-12-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-12-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA BRANCA;M;16;2015-12-05
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;18;2015-12-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-12-06
PACATUBA;HOMICIDIO DOLOSO;ARMA BRANCA;M;;2015-12-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;21;2015-12-06
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;32;2015-12-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;24;2015-12-06
MARACANAU;HOMICIDIO DOLOSO;ARMA DE FOGO;M;31;2015-12-06
ITAITINGA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;27;2015-12-06
BARREIRA;HOMICIDIO DOLOSO;OUTROS;M;61;2015-12-06
JUAZEIRO DO NORTE;HOMICIDIO DOLOSO;ARMA DE FOGO;M;20;2015-12-06
BARREIRA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;63;2015-12-06
FORTALEZA;HOMICIDIO DOLOSO;ARMA DE FOGO;M;19;2015-12-06
ARACATI;HOMICIDIO DOLOSO;ARMA BRANCA;M;23;2015-12-06
